Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Alex Ovechkin,20242025,WSH,R,L,65,44,29,73,15,14,1.12,30,51,14,22,0,0,1,7,237,18.6,17:43,0
Adrian Kempe,20242025,LAK,L,R,81,35,38,73,22,36,0.9,27,54,7,18,1,1,1,5,237,14.8,19:09,45.8
Matt Boldy,20242025,MIN,L,L,82,27,46,73,1,51,0.89,21,52,6,21,0,0,2,10,271,10,20:17,46.4
Tage Thompson,20242025,BUF,R,C,76,44,28,72,-2,35,0.95,37,56,7,16,0,0,0,6,242,18.2,18:45,42.8
Wyatt Johnston,20242025,DAL,R,C,82,33,38,71,2,14,0.87,19,43,11,25,3,3,1,4,202,16.3,18:56,51.2
Aleksander Barkov,20242025,FLA,L,C,67,20,51,71,1,16,1.06,10,39,9,28,1,4,2,4,149,13.4,20:15,56.5
Alex DeBrincat,20242025,DET,R,R,82,39,31,70,-13,29,0.85,26,41,13,29,0,0,1,4,244,16,17:52,44.8
Cole Caufield,20242025,MTL,R,R,82,37,33,70,9,14,0.85,27,53,10,17,0,0,1,8,240,15.4,18:05,40
Jordan Kyrou,20242025,STL,R,R,82,36,34,70,23,20,0.85,29,53,7,17,0,0,0,4,239,15.1,17:29,33.3
Rickard Rakell,20242025,PIT,R,R,81,35,35,70,-22,14,0.86,26,51,9,19,0,0,1,1,203,17.2,19:18,42.2
Dylan Larkin,20242025,DET,L,C,82,30,40,70,-16,40,0.85,17,43,13,27,0,0,0,3,234,12.8,20:04,54.5
Jack Hughes,20242025,NJD,L,C,62,27,43,70,12,18,1.13,20,41,6,27,1,2,2,7,229,11.8,20:54,37.6
J.T. Miller,20242025,"VAN,NYR",L,C,72,22,48,70,-6,55,0.97,17,44,5,22,0,4,1,2,137,16.1,18:12,58.3
Nico Hischier,20242025,NJD,L,C,75,35,34,69,9,20,0.92,21,38,14,29,0,2,0,3,187,18.7,20:23,55.5
JJ Peterka,20242025,BUF,L,R,77,27,41,68,-1,34,0.88,21,50,6,18,0,0,0,3,173,15.6,18:11,16.7
Drake Batherson,20242025,OTT,R,R,82,26,42,68,-9,30,0.83,13,37,13,31,0,0,0,3,192,13.5,18:09,50
Rasmus Dahlin,20242025,BUF,L,D,73,17,51,68,11,54,0.93,12,46,5,21,0,1,1,1,200,8.5,24:14,--
Alex Tuch,20242025,BUF,R,R,82,36,31,67,16,47,0.82,27,47,3,11,6,9,1,4,196,18.4,19:15,41
Nazem Kadri,20242025,CGY,L,C,82,35,32,67,-17,72,0.82,26,45,9,22,0,0,2,5,279,12.5,19:21,46.2
Seth Jarvis,20242025,CAR,R,C,73,32,35,67,12,16,0.92,20,41,7,19,5,7,0,2,204,15.7,19:21,34.2
Roope Hintz,20242025,DAL,L,C,76,28,39,67,18,30,0.88,20,45,7,20,1,2,0,7,160,17.5,16:53,53.9
Connor Bedard,20242025,CHI,R,C,82,23,44,67,-36,70,0.82,12,38,11,29,0,0,1,5,195,11.8,20:17,38.3
Anze Kopitar,20242025,LAK,L,C,81,21,46,67,14,4,0.83,17,44,4,22,0,1,0,7,98,21.4,18:57,57.2
Mark Stone,20242025,VGK,R,R,66,19,48,67,22,14,1.02,14,41,5,25,0,1,0,4,131,14.5,19:15,33.3
Evan Bouchard,20242025,EDM,R,D,82,14,53,67,14,32,0.82,11,41,3,26,0,0,1,2,235,6,23:28,--
Aliaksei Protas,20242025,WSH,L,C,76,30,36,66,40,18,0.87,27,60,0,1,3,5,1,6,142,21.1,16:27,24
Mikael Granlund,20242025,"SJS,DAL",L,C,83,22,44,66,0,28,0.8,16,46,5,19,1,1,1,4,169,13,19:27,49.6
Pierre-Luc Dubois,20242025,WSH,L,L,82,20,46,66,27,76,0.8,16,52,4,14,0,0,1,4,142,14.1,17:18,49.7
Victor Hedman,20242025,TBL,L,D,79,15,51,66,18,30,0.84,11,40,4,26,0,0,0,1,181,8.3,23:05,--
Lane Hutson,20242025,MTL,L,D,82,6,60,66,-2,34,0.8,5,40,1,26,0,0,0,0,91,6.6,22:44,--
Tom Wilson,20242025,WSH,R,R,81,33,32,65,20,100,0.8,20,43,11,17,2,5,2,6,169,19.5,18:44,26.3
Bryan Rust,20242025,PIT,R,R,71,31,34,65,-21,18,0.92,26,47,5,18,0,0,2,5,191,16.2,19:45,52.9
Logan Cooley,20242025,UTA,L,C,75,25,40,65,1,46,0.87,18,45,7,20,0,0,0,2,158,15.8,17:52,44.7
Dylan Holloway,20242025,STL,L,L,77,26,37,63,21,10,0.82,20,50,6,13,0,0,1,8,178,14.6,16:49,42.7
Matvei Michkov,20242025,PHI,L,R,80,26,37,63,-18,46,0.79,18,46,8,17,0,0,3,3,199,13.1,16:41,46.3
Macklin Celebrini,20242025,SJS,L,C,70,25,38,63,-31,28,0.9,17,41,8,22,0,0,1,4,236,10.6,19:47,48.2
Nikolaj Ehlers,20242025,WPG,L,L,69,24,39,63,14,17,0.91,18,41,6,22,0,0,2,5,174,13.8,15:48,26.3
Nick Schmaltz,20242025,UTA,R,C,82,20,43,63,-15,14,0.77,11,38,9,25,0,0,0,3,186,10.8,18:35,49.2
Ryan Donato,20242025,CHI,L,C,80,31,31,62,-15,41,0.78,26,48,5,14,0,0,0,3,182,17,16:19,44.6
Jonathan Huberdeau,20242025,CGY,L,L,81,28,34,62,-13,34,0.77,15,35,10,23,3,4,1,6,153,18.3,19:33,33.3
Mika Zibanejad,20242025,NYR,R,C,82,20,42,62,-22,22,0.76,13,37,7,19,0,6,0,0,183,10.9,18:46,52
Josh Morrissey,20242025,WPG,L,D,80,14,48,62,17,22,0.78,11,40,3,22,0,0,1,2,172,8.1,24:23,--
Tomas Hertl,20242025,VGK,L,C,73,32,29,61,-3,20,0.84,18,38,14,23,0,0,0,3,177,18.1,17:07,56
Gabriel Vilardi,20242025,WPG,R,C,71,27,34,61,9,14,0.86,15,36,12,25,0,0,0,6,130,20.8,18:08,49.3
Jared McCann,20242025,SEA,L,L,82,22,39,61,8,18,0.74,18,44,4,16,0,1,1,3,202,10.9,17:13,44.7
Adam Fox,20242025,NYR,R,D,74,10,51,61,9,32,0.82,8,40,1,18,1,3,0,2,135,7.4,23:15,--
Kevin Fiala,20242025,LAK,L,L,81,35,25,60,-7,38,0.74,21,35,14,25,0,0,0,6,244,14.3,18:31,40.5
Dylan Guenther,20242025,UTA,R,R,70,27,33,60,-4,26,0.86,15,31,12,29,0,0,3,9,204,13.2,17:00,34.5
Marco Rossi,20242025,MIN,L,C,82,24,36,60,3,26,0.73,17,44,7,16,0,0,2,3,136,17.7,18:15,46.8
Anthony Cirelli,20242025,TBL,L,C,80,27,32,59,30,28,0.74,20,47,3,5,4,7,0,2,160,16.9,18:41,50.1
Vincent Trocheck,20242025,NYR,R,C,82,26,33,59,0,44,0.72,15,40,5,12,6,7,1,7,202,12.9,21:06,59.3
Patrick Kane,20242025,DET,L,R,72,21,38,59,-16,12,0.82,9,30,12,29,0,0,2,6,175,12,17:59,38.5
Matthew Knies,20242025,TOR,L,L,78,29,29,58,7,43,0.74,24,42,5,15,0,1,1,6,152,19.1,18:31,0
William Eklund,20242025,SJS,L,L,77,17,41,58,-7,29,0.75,10,39,6,16,1,3,1,2,151,11.3,19:33,30.6
Teuvo Teravainen,20242025,CHI,L,C,82,15,43,58,-23,12,0.71,8,32,7,24,0,2,0,0,111,13.5,17:04,39.2
Morgan Geekie,20242025,BOS,R,C,77,33,24,57,3,22,0.74,29,48,4,9,0,0,0,4,150,22,16:55,46.5
Bo Horvat,20242025,NYI,L,C,81,28,29,57,-4,16,0.7,23,48,3,7,2,2,3,7,243,11.5,20:10,58.2
Connor McMichael,20242025,WSH,L,C,82,26,31,57,19,49,0.7,22,46,4,10,0,1,0,5,177,14.7,16:49,46.8
Kent Johnson,20242025,CBJ,L,C,68,24,33,57,2,16,0.84,19,39,4,15,1,3,0,4,123,19.5,17:18,0
Matthew Tkachuk,20242025,FLA,L,L,52,22,35,57,-3,54,1.1,11,34,11,23,0,0,0,2,156,14.1,18:14,20
Pavel Buchnevich,20242025,STL,L,L,76,20,37,57,10,23,0.75,18,43,2,12,0,2,0,3,145,13.8,19:02,37.3
Sean Monahan,20242025,CBJ,L,C,54,19,38,57,19,20,1.06,12,40,7,14,0,3,0,2,128,14.8,19:01,52.6
Jake Sanderson,20242025,OTT,L,D,80,11,46,57,-14,12,0.71,6,23,5,30,0,4,1,4,195,5.6,24:27,--
Shea Theodore,20242025,VGK,L,D,67,7,50,57,18,26,0.85,5,38,2,19,0,0,0,2,128,5.5,22:00,--
